,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
0,"['B1, E1, G1, K1']",[40],[3200.0],[13.869625520110958],[3.043478260869565],1790,487,721,582,487,5.564897728430776,9.993786945699055,30.409146196206873,1.491768285314841,0.088268156424581,22,0.3978784709081143,128000.0
7,"['B1, E1, G1, K2']",[40],[3300.0],[13.908205841446453],[4.40251572327044],1790,567,641,582,567,4.612552685624785,9.998365923678987,21.37899665309883,1.4953142198290548,0.1391061452513966,32,0.4346526019131623,132000.0
28,"['B1, E1, G2, K2']",[40],[3500.0],[13.881177123820098],[4.364089775561097],1790,726,482,582,726,5.052376441761384,9.997065054585477,21.33559836264627,1.4791062815723597,0.1603351955307262,36,0.4514105286980222,140000.0
14,"['B1, E1, G1, K3']",[40],[3500.0],[13.793103448275861],[12.727272727272727],1790,742,466,582,742,4.252263453399886,9.995273555611668,8.037529489736839,1.492809285701754,0.18268156424581,65,0.4978074689745528,140000.0
35,"['B1, E1, G2, K3']",[40],[3700.0],[13.766519823788546],[12.620192307692307],1790,1057,151,582,1057,3.8550066717668616,9.99696372221333,8.068413155415447,1.4867455555260851,0.294413407821229,79,0.5704508286041232,148000.0
15,"['B1, E1, G1, K3']",[50],[3500.0],[13.793103448275861],[12.727272727272727],1790,854,354,582,854,1.9484085152042865,9.99735467144653,8.046793983443054,1.4947744813364054,0.3240223463687151,91,0.5869261567889636,175000.0
36,"['B1, E1, G2, K3']",[50],[3700.0],[13.766519823788546],[12.620192307692307],1790,1143,65,582,1143,1.6863000116052216,9.992391281125492,8.074696723364655,1.4880672194577096,0.4687150837988826,99,0.6619367209091024,185000.0
37,"['B1, E1, G2, K3']",[60],[3700.0],[13.766519823788546],[12.620192307692307],1790,1189,19,582,1189,0.7214051418832927,9.653903999067133,8.087361608140007,1.4907311074813714,0.5625698324022347,99,0.6942975401039672,222000.0
38,"['B1, E1, G2, K3']",[70],[3700.0],[13.766519823788546],[12.620192307692307],1790,1207,1,582,1207,0.4561626770435688,9.734640969899644,8.085000471430813,1.4902344741591254,0.623463687150838,102,0.7181093524180571,259000.0
39,"['B1, E1, G2, K3']",[80],[3700.0],[13.766519823788546],[12.620192307692307],1790,1208,0,582,1208,0.2260848380790719,7.800974198635515,8.082449298086207,1.4896978691888054,0.6430167597765363,102,0.7239228930108572,296000.0
40,"['B1, E1, G2, K3']",[90],[3700.0],[13.766519823788546],[12.620192307692307],1790,1208,0,582,1208,0.0912248602418538,6.238848211015657,8.082449298086207,1.4896978691888054,0.658659217877095,102,0.7283055174584272,333000.0
