vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.11823648052328538,6.591583200317359,8.727945152210815,1.6409235702732374,0.4083798882681564,91,0.6183211443852077,453600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 10]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.000961151704778917,0.7256695371080824,8.6519674605816,1.6409235702732374,0.42178770949720673,93,0.6250835633433349,530000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 12]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.588544091697203,1.6409235702732374,0.42178770949720673,92,0.6235869273743017,606400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 14]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.510728239592416,1.6409235702732374,0.42178770949720673,91,0.6220869273743017,682800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 16]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.433325131783427,1.6409235702732374,0.42178770949720673,92,0.6235869273743017,759200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 18]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.382383170776642,1.6409235702732374,0.42178770949720673,93,0.6250869273743017,835600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 20]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.341371917571406,1.6409235702732374,0.42178770949720673,92,0.6235869273743017,912000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.008293461038106836,1.937196904689067,7.938127384676273,1.6409235702732374,0.4201117318435754,93,0.6246389058472605,498400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 10]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.822293048677336,1.6409235702732374,0.42178770949720673,95,0.6280869273743017,586000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 12]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.673789738329431,1.6409235702732374,0.42178770949720673,93,0.6250869273743017,673600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 14]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.591726161911853,1.6409235702732374,0.42178770949720673,94,0.6265869273743017,761200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 16]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.502786155266736,1.6409235702732374,0.42178770949720673,94,0.6265869273743017,848800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 18]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.415779533724636,1.6409235702732374,0.42178770949720673,93,0.6250869273743017,936400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 8]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,755,0,1035,919,0.008293461038106836,1.937196904689067,7.938127384676273,1.6409235702732374,0.4201117318435754,93,0.6246389058472605,529200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 10]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.822293048677336,1.6409235702732374,0.42178770949720673,95,0.6280869273743017,624500.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 12]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.673789738329431,1.6409235702732374,0.42178770949720673,93,0.6250869273743017,719800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 14]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.591726161911853,1.6409235702732374,0.42178770949720673,94,0.6265869273743017,815100.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 16]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,7.502786155266736,1.6409235702732374,0.42178770949720673,94,0.6265869273743017,910400.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 8]","[3700.0, 39700.0]","[13.766519823788546, 295.54320841707056]","[12.620192307692307, 21.514629948364888]",1790,755,0,1035,919,0.11861816718592316,6.591583200317359,8.723691021938574,1.6409235702732374,0.4083798882681564,91,0.6183198084818884,465600.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 10]","[3700.0, 39700.0]","[13.766519823788546, 295.54320841707056]","[12.620192307692307, 21.514629948364888]",1790,755,0,1035,919,0.0009680027757923426,0.7308420957232187,8.652768937881637,1.6409235702732374,0.42178770949720673,93,0.6250835393645864,545000.0
