,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost,class
0,"['B1, E1, G1, K1']",[20],[3200.0],[12.970168612191959],[2.3222748815165875],1790,235,1175,380,235,6.814066543953057,9.995277176638986,39.60541722132043,1.4942065117256718,0.0301675977653631,7,0.3357449678259979,64000.0,B
19,"['B1, E1, G1, K2']",[20],[3300.0],[13.003901170351105],[3.349282296650718],1790,278,1166,346,278,6.968779054906872,9.985116676671204,27.45826851438807,1.476936838921184,0.0324022346368715,13,0.3427176518905216,66000.0,B
38,"['B1, E1, G1, K3']",[20],[3500.0],[12.903225806451612],[9.767441860465116],1790,413,996,381,413,7.17300812024827,9.991818138410231,10.079199034375218,1.4780091451308492,0.035754189944134,29,0.3647964338025577,70000.0,B
95,"['B1, E1, G2, K3']",[20],[3700.0],[12.87995878413189],[9.704251386321626],1790,635,783,372,635,6.743311130473029,9.995749661621645,10.175707955225452,1.4840562774163162,0.0620111731843575,32,0.3936964374694669,74000.0,B
209,"['B2, E1, G2, K3']",[20],[4700.0],[14.78415138971023],[9.980988593155894],1790,653,743,394,653,5.689941762577558,9.99896513343014,9.980086124541756,1.4938356195768132,0.1044692737430167,48,0.4361381337596683,94000.0,B
96,"['B1, E1, G2, K3']",[30],[3700.0],[12.87995878413189],[9.704251386321626],1790,861,561,368,861,5.773029147000781,9.997847109228177,10.2103608937785,1.4896609578662086,0.1312849162011173,60,0.4711588209922683,111000.0,B
97,"['B1, E1, G2, K3']",[40],[3700.0],[12.87995878413189],[9.704251386321626],1790,1040,373,377,1040,5.238680681588194,9.999029548813034,10.24674301559318,1.495545312133832,0.188268156424581,68,0.5180255095639106,148000.0,B
98,"['B1, E1, G2, K3']",[50],[3700.0],[12.87995878413189],[9.704251386321626],1790,1190,216,384,1190,4.081957788398582,9.997384423814246,10.30281348192172,1.5046140104771726,0.3262569832402234,77,0.5905773935506609,185000.0,B
99,"['B1, E1, G2, K3']",[60],[3700.0],[12.87995878413189],[9.704251386321626],1790,1258,149,383,1258,1.9684567246009248,9.983063471263378,10.281860379546425,1.5012251075976193,0.4865921787709497,98,0.6777184461566341,222000.0,B
100,"['B1, E1, G2, K3']",[70],[3700.0],[12.87995878413189],[9.704251386321626],1790,1306,114,370,1306,1.3808539338758778,9.997734793144277,10.377460881536908,1.5166872959971895,0.5865921787709497,112,0.7375350559241718,259000.0,B
