vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G1, K1']",[20],[3200.0],[12.970168612191959],[2.3222748815165875],1790,235,1175,380,235,6.814066543953057,9.995277176638986,39.60541722132043,1.4942065117256718,0.030167597765363128,7,0.33574496782599794,64000.0
"['B1, E1, G1, K1']",[30],[3200.0],[12.970168612191959],[2.3222748815165875],1790,331,1074,385,331,6.487552591999412,9.994515270954096,39.01880945430959,1.4715021036818086,0.044134078212290505,15,0.3575677832650809,96000.0
"['B1, E1, G1, K1']",[40],[3200.0],[12.970168612191959],[2.3222748815165875],1790,420,987,383,420,6.832496777910152,9.992040300125282,39.43699967095698,1.4876879809454122,0.05307262569832402,15,0.36031320153383883,128000.0
"['B1, E1, G1, K1']",[50],[3200.0],[12.970168612191959],[2.3222748815165875],1790,511,957,322,511,6.393406026007182,9.999011868871897,39.924095940031336,1.506540838121276,0.06871508379888268,16,0.3768310865856201,160000.0
"['B1, E1, G1, K1']",[60],[3200.0],[12.970168612191959],[2.3222748815165875],1790,600,818,372,600,5.932928889563421,9.997328701546273,39.85645824885283,1.503922949600149,0.09329608938547486,27,0.40576301789248087,192000.0
"['B1, E1, G1, K1']",[70],[3200.0],[12.970168612191959],[2.3222748815165875],1790,685,733,372,685,5.684630427300842,9.998495163313663,40.20337671845508,1.5173502837316737,0.12458100558659217,26,0.42116042541443627,224000.0
"['B1, E1, G1, K1']",[80],[3200.0],[12.970168612191959],[2.3222748815165875],1790,760,664,366,760,5.404814654223531,9.998038261505968,39.99240242575148,1.509184612055152,0.16815642458100558,35,0.4494717009861219,256000.0
"['B1, E1, G1, K1']",[90],[3200.0],[12.970168612191959],[2.3222748815165875],1790,820,625,345,820,4.526754886031503,9.998848750575213,40.150521751903455,1.5153045543785697,0.20837988826815643,43,0.4784513299659288,288000.0
"['B1, E1, G1, K1']",[100],[3200.0],[12.970168612191959],[2.3222748815165875],1790,887,535,368,887,4.989217745227559,9.996470381901048,39.792481894742046,1.5014467715974409,0.19162011173184357,46,0.47966276582466444,320000.0
"['B1, E1, G1, K1']",[110],[3200.0],[12.970168612191959],[2.3222748815165875],1790,932,476,382,932,3.2092913035863093,9.999030351126024,39.991439303931394,1.5091473348283084,0.3016759776536313,43,0.5131064748508557,352000.0
"['B1, E1, G1, K1']",[120],[3200.0],[12.970168612191959],[2.3222748815165875],1790,995,413,382,995,3.236220953236481,9.994443640987285,39.38041774403581,1.485498001151465,0.29217877094972067,47,0.5184179194011024,384000.0
"['B1, E1, G1, K1']",[130],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1041,366,383,1041,3.381873362891902,9.996717276751,40.00488211640708,1.5096676332574621,0.31843575418994413,44,0.5266923817773643,416000.0
"['B1, E1, G1, K1']",[140],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1063,342,385,1063,1.9959922688726752,9.978056511742679,39.848580594421676,1.5036180482833035,0.423463687150838,41,0.557439948846655,448000.0
"['B1, E1, G1, K1']",[150],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1112,292,386,1112,1.8155469069399863,9.988041918285688,39.14716761624554,1.4764701526035002,0.4620111731843575,49,0.5815883791217994,480000.0
"['B1, E1, G1, K1']",[160],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1189,254,347,1189,1.4169941832536166,9.985601641282713,39.20350901253771,1.478650822760148,0.5340782122905028,51,0.612740073431238,512000.0
"['B1, E1, G1, K1']",[170],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1211,202,377,1211,1.2337899188963157,9.995041946169323,40.052349427247925,1.5115048356517755,0.5525139664804469,56,0.6281302269039746,544000.0
"['B1, E1, G1, K1']",[180],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1218,192,380,1218,1.0432836209550607,9.999455443828289,39.736778227274066,1.4992907844679535,0.593854748603352,52,0.6339721944774953,576000.0
"['B1, E1, G1, K1']",[190],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1223,180,387,1223,0.6867852823557217,9.987937564756564,39.75565792292862,1.500021515184441,0.6217877094972067,53,0.6443031788860567,608000.0
"['B1, E1, G1, K1']",[200],[3200.0],[12.970168612191959],[2.3222748815165875],1790,1251,136,403,1251,0.6496042297814235,9.992535468301398,39.52001451149415,1.490901035594955,0.6324022346368715,53,0.6504469438549828,640000.0
"['B1, E1, G1, K2']",[20],[3300.0],[13.003901170351105],[3.349282296650718],1790,278,1166,346,278,6.968779054906872,9.985116676671204,27.45826851438807,1.476936838921184,0.03240223463687151,13,0.3427176518905216,66000.0
"['B1, E1, G1, K2']",[30],[3300.0],[13.003901170351105],[3.349282296650718],1790,396,1031,363,396,6.538631021683883,9.998210962956442,27.473192468972492,1.4777699145359446,0.04692737430167598,24,0.37045100927184454,99000.0
"['B1, E1, G1, K2']",[40],[3300.0],[13.003901170351105],[3.349282296650718],1790,508,920,362,508,5.720824084888211,9.998790700679976,27.837655411090463,1.498114735866294,0.09776536312849161,25,0.4023298035936879,132000.0
"['B1, E1, G1, K2']",[50],[3300.0],[13.003901170351105],[3.349282296650718],1790,616,811,363,616,5.275196777718894,9.998591151759442,27.625528527708965,1.4862735222804049,0.11340782122905028,30,0.423959200419198,165000.0
"['B1, E1, G1, K2']",[60],[3300.0],[13.003901170351105],[3.349282296650718],1790,702,716,372,702,5.327694058670531,9.997418532684215,28.118650302082905,1.5138002560971318,0.13575418994413407,36,0.43997083066464604,198000.0
"['B1, E1, G1, K2']",[70],[3300.0],[13.003901170351105],[3.349282296650718],1790,769,661,360,769,4.9517786961168495,9.994111661145482,28.494678701521256,1.5347906771184114,0.17094972067039105,59,0.48504620473118876,231000.0
"['B1, E1, G1, K2']",[80],[3300.0],[13.003901170351105],[3.349282296650718],1790,893,507,390,893,4.812435329587012,9.996986033252533,27.45654990615445,1.4768409038523218,0.2011173184357542,62,0.505015805955384,264000.0
"['B1, E1, G1, K2']",[90],[3300.0],[13.003901170351105],[3.349282296650718],1790,961,455,374,961,4.303979037034126,9.998642652189282,27.89191024626174,1.501143315182075,0.23631284916201117,68,0.5286742856608833,297000.0
"['B1, E1, G1, K2']",[100],[3300.0],[13.003901170351105],[3.349282296650718],1790,1024,382,384,1024,3.7297959196727106,9.99993697834391,28.20184389230143,1.5184442364123605,0.2871508379888268,64,0.5426134237783522,330000.0
"['B1, E1, G1, K2']",[110],[3300.0],[13.003901170351105],[3.349282296650718],1790,1080,323,387,1080,2.000137599664335,9.984530077511451,27.963499840187716,1.5051395445080862,0.4106145251396648,72,0.598253149686091,363000.0
"['B1, E1, G1, K2']",[120],[3300.0],[13.003901170351105],[3.349282296650718],1790,1128,286,376,1128,1.674214480659967,9.999575080554095,27.983405779900224,1.5062507213660414,0.4759776536312849,68,0.6154946627255113,396000.0
"['B1, E1, G1, K2']",[130],[3300.0],[13.003901170351105],[3.349282296650718],1790,1192,237,361,1192,1.8484849660711842,9.9980956897274,27.915819959590067,1.5024779881748842,0.4877094972067039,76,0.6374976769204268,429000.0
"['B1, E1, G1, K2']",[140],[3300.0],[13.003901170351105],[3.349282296650718],1790,1233,199,358,1233,0.8691039623390521,9.997388430435308,27.778583776558655,1.4948172762034337,0.6033519553072626,74,0.6717561249586289,462000.0
"['B1, E1, G1, K2']",[150],[3300.0],[13.003901170351105],[3.349282296650718],1790,1246,169,375,1246,1.4511702247522593,9.99571655270934,27.958781500375057,1.5048761603080174,0.553072625698324,79,0.666209060637948,495000.0
"['B1, E1, G1, K2']",[160],[3300.0],[13.003901170351105],[3.349282296650718],1790,1232,165,393,1232,0.8235672107357648,9.981829172148302,27.880996282884773,1.500534082776662,0.6150837988826816,81,0.6852284644830953,528000.0
"['B1, E1, G1, K2']",[170],[3300.0],[13.003901170351105],[3.349282296650718],1790,1255,154,381,1255,0.9864804134202909,9.999136996347957,27.961358321671625,1.5050200020071882,0.6156424581005586,77,0.6815579330781686,561000.0
"['B1, E1, G1, K2']",[180],[3300.0],[13.003901170351105],[3.349282296650718],1790,1312,145,333,1312,0.8899330449448619,9.9940494814361,27.96379426517795,1.5051559797148777,0.6513966480446928,75,0.6946743963538662,594000.0
"['B1, E1, G1, K2']",[190],[3300.0],[13.003901170351105],[3.349282296650718],1790,1314,123,353,1314,0.9014466323810088,9.986947976652836,27.71983234703244,1.4915376908231828,0.6536312849162011,76,0.6969327580157167,627000.0
"['B1, E1, G1, K2']",[200],[3300.0],[13.003901170351105],[3.349282296650718],1790,1274,93,423,1274,0.5577020803086694,9.998380188440628,27.955459888867807,1.5046907433977246,0.6547486033519553,77,0.6951151935569084,660000.0
"['B1, E1, G1, K3']",[20],[3500.0],[12.903225806451612],[9.767441860465116],1790,413,996,381,413,7.17300812024827,9.991818138410231,10.079199034375218,1.4780091451308492,0.035754189944134075,29,0.3647964338025577,70000.0
"['B1, E1, G1, K3']",[30],[3500.0],[12.903225806451612],[9.767441860465116],1790,583,820,387,583,6.95334113963967,9.994719583002123,10.250654125194554,1.5059204389851597,0.05977653631284916,47,0.4020773581232569,105000.0
"['B1, E1, G1, K3']",[40],[3500.0],[12.903225806451612],[9.767441860465116],1790,720,711,359,720,6.070080943100758,9.998451878610268,10.22673194250466,1.5020261301751772,0.10223463687150838,50,0.43627752601446645,140000.0
"['B1, E1, G1, K3']",[50],[3500.0],[12.903225806451612],[9.767441860465116],1790,834,609,347,834,4.5367699897861415,9.999053770349278,10.242830432960261,1.5046468146679495,0.20837988826815643,69,0.5147562771027875,175000.0
"['B1, E1, G1, K3']",[60],[3500.0],[12.903225806451612],[9.767441860465116],1790,953,449,388,953,3.513043158226294,9.998253569162365,10.177486256969246,1.4940093906694123,0.2608938547486033,89,0.5686078126333588,210000.0
"['B1, E1, G1, K3']",[70],[3500.0],[12.903225806451612],[9.767441860465116],1790,1063,375,352,1063,2.232385091170217,9.993814221639923,10.255207511086176,1.5066616878512378,0.38491620111731845,115,0.6609757024602338,245000.0
"['B1, E1, G1, K3']",[80],[3500.0],[12.903225806451612],[9.767441860465116],1790,1123,282,385,1123,1.3979637191973084,9.993954824169329,10.195016463270308,1.4968631451835384,0.5072625698324023,102,0.67568276944091,280000.0
"['B1, E1, G1, K3']",[90],[3500.0],[12.903225806451612],[9.767441860465116],1790,1167,241,382,1167,1.0915953969251455,9.991162542939733,10.159466453121441,1.4910759342290716,0.5458100558659218,110,0.7076719300772424,315000.0
"['B1, E1, G1, K3']",[100],[3500.0],[12.903225806451612],[9.767441860465116],1790,1202,223,365,1202,1.0735694925004529,9.994739089103284,10.145451787049861,1.4887944769616053,0.5670391061452514,113,0.7232422833125611,350000.0
"['B1, E1, G1, K3']",[110],[3500.0],[12.903225806451612],[9.767441860465116],1790,1255,137,398,1255,1.0139546044107566,9.981402511200237,10.207585111583873,1.4989092042113283,0.6,106,0.7240511588845624,385000.0
"['B1, E1, G1, K3']",[120],[3500.0],[12.903225806451612],[9.767441860465116],1790,1307,120,363,1307,0.598654579942965,9.988152484569497,10.213644846223255,1.4998956726409949,0.6653631284916202,119,0.7740854910931046,420000.0
"['B1, E1, G1, K3']",[130],[3500.0],[12.903225806451612],[9.767441860465116],1790,1296,102,392,1296,0.5523935373351134,9.979636171779482,10.270270965702183,1.5091138781375653,0.6731843575418994,122,0.7808827120048019,455000.0
"['B1, E1, G1, K3']",[140],[3500.0],[12.903225806451612],[9.767441860465116],1790,1324,101,365,1324,0.5990530435224035,9.95811616521106,10.317825284247224,1.516855278830943,0.6849162011173184,113,0.7690123646270012,490000.0
"['B1, E1, G1, K3']",[150],[3500.0],[12.903225806451612],[9.767441860465116],1790,1352,87,351,1352,0.31417762489307643,9.983612805157058,10.201707059665114,1.4979523120385072,0.7212290502793296,114,0.7844476408827066,525000.0
"['B1, E1, G1, K3']",[160],[3500.0],[12.903225806451612],[9.767441860465116],1790,1360,75,355,1360,0.5714604080922017,9.96290608403541,10.194082654651545,1.4967111298269957,0.6949720670391062,113,0.7759429053314538,560000.0
"['B1, E1, G1, K3']",[170],[3500.0],[12.903225806451612],[9.767441860465116],1790,1383,55,352,1383,0.5507876826145566,9.996045344061137,10.152912004558686,1.49000893097467,0.7150837988826816,114,0.7858031928315194,595000.0
"['B1, E1, G1, K3']",[180],[3500.0],[12.903225806451612],[9.767441860465116],1790,1393,46,351,1393,0.6556173128449913,9.994128869439471,10.259211102477371,1.5073134352870137,0.7089385474860335,115,0.7870999762765508,630000.0
"['B1, E1, G1, K3']",[190],[3500.0],[12.903225806451612],[9.767441860465116],1790,1402,16,372,1402,0.39370637236522377,9.986600884846233,10.158386025299713,1.4909000506301855,0.7229050279329609,116,0.7945882846799619,665000.0
"['B1, E1, G1, K3']",[200],[3500.0],[12.903225806451612],[9.767441860465116],1790,1398,13,379,1398,0.4920786948265522,9.940038159547413,10.253328305504038,1.5063557706634478,0.7273743016759776,109,0.7808812999871015,700000.0
"['B1, E1, G2, K1']",[20],[3400.0],[12.94665976178146],[2.3069679849340865],1790,281,1182,327,281,6.865031918661188,9.99947006112265,40.11523728291383,1.503960002246373,0.035754189944134075,8,0.34018810062477683,68000.0
"['B1, E1, G2, K1']",[30],[3400.0],[12.94665976178146],[2.3069679849340865],1790,386,1031,373,386,7.0563810670515865,9.995047131445851,40.315188711462845,1.5116480279831126,0.04022346368715084,14,0.3509265309830655,102000.0
"['B1, E1, G2, K1']",[40],[3400.0],[12.94665976178146],[2.3069679849340865],1790,515,925,350,515,6.685608507834005,9.99774147750891,40.05407754557059,1.5016084429794088,0.05698324022346369,14,0.36804729094618976,136000.0
"['B1, E1, G2, K1']",[50],[3400.0],[12.94665976178146],[2.3069679849340865],1790,605,820,365,605,5.678298750088556,9.996731681101458,40.47309601551316,1.5177194795669686,0.10949720670391061,16,0.4026781191747379,170000.0
"['B1, E1, G2, K1']",[60],[3400.0],[12.94665976178146],[2.3069679849340865],1790,692,730,368,692,6.047786273386718,9.99682590880795,39.89729497881135,1.495580236944253,0.11564245810055866,18,0.4062616066977256,204000.0
"['B1, E1, G2, K1']",[70],[3400.0],[12.94665976178146],[2.3069679849340865],1790,800,612,378,800,5.639583654707532,9.99980154285847,39.46836328866251,1.479088042329302,0.1424581005586592,30,0.4371603539737593,238000.0
"['B1, E1, G2, K1']",[80],[3400.0],[12.94665976178146],[2.3069679849340865],1790,885,539,366,885,5.273848067474216,9.993947497922306,39.79970974618257,1.4918281368196373,0.16145251396648044,36,0.45812925554698103,272000.0
"['B1, E1, G2, K1']",[90],[3400.0],[12.94665976178146],[2.3069679849340865],1790,971,446,373,971,5.504795803970295,9.999435645148473,40.12958907231894,1.504511820891108,0.1569832402234637,40,0.4629386688002818,306000.0
"['B1, E1, G2, K1']",[100],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1052,372,366,1052,4.3458497137374374,9.998860984234632,39.93832417907345,1.497157787801788,0.24525139664804468,47,0.5093423751639301,340000.0
"['B1, E1, G2, K1']",[110],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1117,315,358,1117,4.1767391028860965,9.997300750226188,39.59036011385705,1.4837787551624257,0.29720670391061454,46,0.5297230891175523,374000.0
"['B1, E1, G2, K1']",[120],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1175,240,375,1175,3.694177815791966,9.999312348934168,39.77141160647143,1.4907400884471909,0.3435754189944134,49,0.5529642323933315,408000.0
"['B1, E1, G2, K1']",[130],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1226,192,372,1226,3.3321156522805477,9.999628494150734,39.773737972115136,1.4908295359648789,0.3893854748603352,47,0.5698039639321019,442000.0
"['B1, E1, G2, K1']",[140],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1269,166,355,1269,2.7286897761067133,9.998600840502156,40.03087191022684,1.5007161986826076,0.45977653631284915,46,0.5936737198618387,476000.0
"['B1, E1, G2, K1']",[150],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1284,120,386,1284,1.9334210809638064,9.999789615940351,39.44948659903126,1.4783622436852886,0.5273743016759777,48,0.6171566016356211,510000.0
"['B1, E1, G2, K1']",[160],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1297,111,382,1297,1.805046209081151,9.999466928009042,40.036123187754036,1.500918107501528,0.5463687150837989,56,0.6349145170391657,544000.0
"['B1, E1, G2, K1']",[170],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1346,66,378,1346,1.1503067616863771,9.992389029769804,39.79502325705446,1.4916479438132992,0.6240223463687151,49,0.6524995129262764,578000.0
"['B1, E1, G2, K1']",[180],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1362,57,371,1362,1.168565318621982,9.999465084098631,39.89123044921986,1.495347059017399,0.6329608938547486,50,0.6575902448485101,612000.0
"['B1, E1, G2, K1']",[190],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1343,40,407,1343,0.9752381476625601,9.974311992016176,40.46560430504423,1.5174314272968983,0.6346368715083799,52,0.659405884360276,646000.0
"['B1, E1, G2, K1']",[200],[3400.0],[12.94665976178146],[2.3069679849340865],1790,1378,43,369,1378,0.7896953393636305,9.953051643663962,40.0509224104224,1.501487129716492,0.6854748603351956,51,0.6754647813960262,680000.0
"['B1, E1, G2, K2']",[20],[3500.0],[12.980269989615783],[3.326996197718631],1790,347,1078,365,347,7.207628244720228,9.992796156433599,28.49764324367802,1.5247425752990031,0.03519553072625698,11,0.342212087255481,70000.0
"['B1, E1, G2, K2']",[30],[3500.0],[12.980269989615783],[3.326996197718631],1790,496,897,397,496,6.994211436159849,9.999322669150317,28.201248123442618,1.5083074846649107,0.049162011173184354,25,0.37163154268705817,105000.0
"['B1, E1, G2, K2']",[40],[3500.0],[12.980269989615783],[3.326996197718631],1790,639,765,386,639,6.119460424367565,9.998551024049434,27.973686950993212,1.4956892320734514,0.09217877094972067,27,0.4052122467962842,140000.0
"['B1, E1, G2, K2']",[50],[3500.0],[12.980269989615783],[3.326996197718631],1790,751,667,372,751,5.771846719151023,9.99539453688179,27.90859764731216,1.492080034309134,0.13016759776536313,37,0.4362960453732264,175000.0
"['B1, E1, G2, K2']",[60],[3500.0],[12.980269989615783],[3.326996197718631],1790,860,565,365,860,5.9679694471769436,9.999419306567745,28.14253266354944,1.5050517161347123,0.13128491620111732,47,0.45036965678980206,210000.0
"['B1, E1, G2, K2']",[70],[3500.0],[12.980269989615783],[3.326996197718631],1790,978,456,356,978,5.391925093683497,9.999598082945873,28.050297439229272,1.4999372787912304,0.16312849162011173,56,0.485475171593459,245000.0
"['B1, E1, G2, K2']",[80],[3500.0],[12.980269989615783],[3.326996197718631],1790,1088,317,385,1088,4.877943369547882,9.995426364895721,28.123501927179767,1.5039964630090175,0.19217877094972066,65,0.5240318909440126,280000.0
"['B1, E1, G2, K2']",[90],[3500.0],[12.980269989615783],[3.326996197718631],1790,1136,277,377,1136,3.7547751589700105,9.998322511734123,28.18379654994061,1.5073397960201542,0.3016759776536313,67,0.5640972813570128,315000.0
"['B1, E1, G2, K2']",[100],[3500.0],[12.980269989615783],[3.326996197718631],1790,1202,232,356,1202,3.230859150777089,9.997347171360325,27.942462138525535,1.4939578182008773,0.3525139664804469,68,0.5880604845923919,350000.0
"['B1, E1, G2, K2']",[110],[3500.0],[12.980269989615783],[3.326996197718631],1790,1249,166,375,1249,2.885398098133546,9.995777398375552,27.936163688070025,1.4936085695222607,0.40279329608938547,67,0.6059794306788789,385000.0
"['B1, E1, G2, K2']",[120],[3500.0],[12.980269989615783],[3.326996197718631],1790,1292,129,369,1292,1.8678067480777967,9.994616202332871,27.86376516415176,1.4895940759589854,0.5290502793296089,78,0.66276524621413,420000.0
"['B1, E1, G2, K2']",[130],[3500.0],[12.980269989615783],[3.326996197718631],1790,1378,72,340,1378,1.563292770623053,9.977716073703107,28.10559523149707,1.5030035378681836,0.575977653631285,75,0.6813828887106406,455000.0
