,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost,class
0,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 8]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1547,185,58,1802,3.4124040678121914,9.997742735264625,8.381611086511834,1.4833808386228404,0.4458100558659217,124,0.7606290997291377,405648.0,BC
448,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[50, 8]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1639,93,58,1917,2.8151948061168492,9.989998519206118,8.653910098352517,1.485664381137032,0.4687150837988826,141,0.8093455891283117,442648.0,BC
7,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1705,27,58,1997,2.3608824515779254,9.998421309958443,7.1417000866822855,1.4848061482991344,0.5262569832402234,152,0.8491211572295331,450448.0,BC
48,"['B1, E1, G2, K3', 'C1, P2, G1, M2, A3']","[40, 8]","[3700.0, 37811]","[12.87995878413189, 527.4261603375528]","[9.704251386321626, 38.230475150191154]",1790,1686,46,58,1976,2.202962229572464,9.990639807571888,7.199921744423571,1.4866685512271816,0.5648044692737431,153,0.8585507495149322,450488.0,BC
876,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[60, 8]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1694,38,58,1982,1.7751338399684238,9.982648249143438,8.859802252206753,1.4875438739987086,0.6452513966480447,163,0.8855198807221216,479648.0,BC
915,"['B1, E1, G2, K3', 'C1, P2, G1, M1, A3']","[60, 8]","[3700.0, 32211]","[12.87995878413189, 540.2485143165857]","[9.704251386321626, 19.596864501679732]",1790,1683,49,58,1968,1.8808971641004704,9.99018848470385,8.936421906452608,1.4845876502001305,0.6597765363128492,163,0.8879409940038607,479688.0,BC
455,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[50, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1727,5,58,2028,0.8188357981042135,9.948974773739645,7.588245088176949,1.4858389660539897,0.7782122905027933,168,0.9256871473323336,487448.0,BC
883,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[60, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.4076391160031581,8.96949955626873,7.997581163920896,1.485570682350894,0.8569832402234637,172,0.9488190731498548,524448.0,BC
1660,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[80, 8]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1725,7,58,2025,0.4337131942604939,9.925993054332665,9.117883168030634,1.4852329675121407,0.8754189944134079,166,0.9503367524234402,553648.0,BC
1299,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[70, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.2017510380945389,5.072839260420281,8.277634120109967,1.485570682350894,0.8955307262569833,170,0.9581765529309147,561448.0,BC
1371,"['B1, E1, G2, K3', 'C1, P3, G1, M2, A3']","[70, 8]","[3700.0, 37815]","[12.87995878413189, 744.047619047619]","[9.704251386321626, 35.879036391594056]",1790,1732,0,58,2035,0.2637732807504793,7.146054037496157,8.367936633923376,1.485570682350894,0.8983240223463688,170,0.9586577991039656,561520.0,BC
1353,"['B1, E1, G2, K3', 'C1, P2, G2, M2, A3']","[70, 8]","[3700.0, 39311.0]","[12.87995878413189, 527.203711514129]","[9.704251386321626, 38.21377879681188]",1790,1732,0,58,2035,0.2116317810173963,5.73126656624428,8.317563509856987,1.485570682350894,0.9,170,0.9592592887664392,573488.0,BC
1667,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[80, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.2210134589147606,8.469457640215623,8.50119010515302,1.485570682350894,0.9150837988826817,170,0.9629974026144688,598448.0,BC
9,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 12]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1449190706661866,4.998969475712904,6.769387439325077,1.485570682350894,0.9106145251396648,174,0.9641464145375844,601672.0,BC
50,"['B1, E1, G2, K3', 'C1, P2, G1, M2, A3']","[40, 12]","[3700.0, 37811]","[12.87995878413189, 527.4261603375528]","[9.704251386321626, 38.230475150191154]",1790,1732,0,58,2035,0.1427713385786927,3.9790927140585457,6.83035854941964,1.485570682350894,0.911173184357542,177,0.96579359640436,601732.0,BC
2019,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[90, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1049390718185219,4.527200387400647,8.673175204199211,1.485570682350894,0.9290502793296088,170,0.9668952830810372,635448.0,BC
2051,"['B1, E1, G2, K3', 'C1, P2, G1, M2, A3']","[90, 8]","[3700.0, 37811]","[12.87995878413189, 527.4261603375528]","[9.704251386321626, 38.230475150191154]",1790,1732,0,58,2035,0.1145504882530586,5.296679160683695,8.69885223264785,1.485570682350894,0.9290502793296088,171,0.9673616431235166,635488.0,BC
1300,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[70, 10]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.0478742560577585,2.952008375576014,8.118084348623952,1.485570682350894,0.9486033519553072,170,0.9719832780926246,637060.0,BC
622,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[50, 10]","[3700.0, 46656]","[12.87995878413189, 260.96033402922757]","[9.704251386321626, 40]",1790,1785,0,5,2204,0.2318947895598346,7.108039846872778,7.359639936637586,1.4868098588610867,0.9262569832402234,183,0.9722526140465964,651560.0,BC
2334,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[100, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.0218479416468882,2.7678978016716016,8.772817714324473,1.485570682350894,0.9581005586592178,170,0.9744486718690404,672448.0,BC
924,"['B1, E1, G2, K3', 'C1, P2, G1, M2, A3']","[60, 12]","[3700.0, 37811]","[12.87995878413189, 527.4261603375528]","[9.704251386321626, 38.230475150191154]",1790,1732,0,58,2035,0.0208522064944267,2.6609038987674083,7.719202228638227,1.485570682350894,0.958659217877095,170,0.9745918217465432,675732.0,BC
72,"['B1, E1, G2, K3', 'C1, P2, G2, M2, A3']","[40, 14]","[3700.0, 39311.0]","[12.87995878413189, 527.203711514129]","[9.704251386321626, 38.21377879681188]",1790,1732,0,58,2035,0.0614950076390799,3.031823253310648,6.691478508109889,1.485570682350894,0.941899441340782,179,0.9747596278084588,698354.0,BC
1925,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[80, 8]","[3700.0, 50656]","[12.87995878413189, 230.84025854108955]","[9.704251386321626, 40]",1790,1790,0,0,2229,0.281482620598415,9.374442782248169,8.390249092916047,1.486484810006703,0.9379888268156424,184,0.9755120175318162,701248.0,BC
2149,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[90, 8]","[3700.0, 46656]","[12.87995878413189, 260.96033402922757]","[9.704251386321626, 40]",1790,1785,0,5,2204,0.1393409898964946,5.534704914297883,8.544627349108397,1.4868098588610867,0.9508379888268156,179,0.9767218037420662,706248.0,BC
2453,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[100, 8]","[3700.0, 42806]","[12.87995878413189, 265.1113467656416]","[9.704251386321626, 33.00330033003301]",1790,1785,0,5,2204,0.0521580546280036,4.658079883780211,8.76649347421427,1.4868098588610867,0.975977653631285,179,0.9833118602166232,712448.0,BC
1448,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[70, 10]","[3700.0, 46656]","[12.87995878413189, 260.96033402922757]","[9.704251386321626, 40]",1790,1785,0,5,2204,0.027957758432036,3.3837176526698443,8.047837704565845,1.4868098588610867,0.9860335195530726,180,0.986410527733756,725560.0,BC
1566,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[70, 10]","[3700.0, 50656]","[12.87995878413189, 230.84025854108955]","[9.704251386321626, 40]",1790,1790,0,0,2229,0.042905879757565,3.030106636953107,8.028271792751573,1.486484810006703,0.9804469273743016,184,0.986961561264424,765560.0,BC
