vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 8]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1547,185,58,1802,3.4124040678121914,9.997742735264623,8.381611086511834,1.4833808386228404,0.44581005586592176,124,0.7606290997291377,405648.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 10]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1623,109,58,1891,3.3152712853915496,9.996802218383074,8.173068647582536,1.4839957674197335,0.49553072625698324,139,0.8087392320653753,470060.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 12]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1679,53,58,1965,2.8551666649304166,9.994408471034468,7.995006176723303,1.4866089775700484,0.5229050279329609,139,0.8216331736559838,534472.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 14]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1722,10,58,2021,2.113298566054025,9.997737855660596,7.85277052248081,1.486407593370204,0.5815642458100558,148,0.8589945164713249,598884.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 16]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1732,0,58,2035,0.44916002992834575,7.886920244422235,7.746121234344102,1.485570682350894,0.8279329608938547,167,0.9389111801187144,663296.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 18]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1732,0,58,2035,0.22343907955727843,5.839361591912429,7.647035793115845,1.485570682350894,0.9,168,0.9582179632215495,727708.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 20]","[3700.0, 32206]","[12.87995878413189, 287.1912693854107]","[9.704251386321626, 20.883054892601432]",1790,1732,0,58,2035,0.13194136778647209,5.463622754696509,7.565698344653511,1.485570682350894,0.9262569832402234,170,0.9661024510228031,792120.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 8]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1705,27,58,1997,2.3608824515779254,9.998421309958445,7.1417000866822855,1.4848061482991344,0.5262569832402234,152,0.8491211572295331,450448.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 10]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.5644864783282172,6.768022615323694,6.8936535645818005,1.485570682350894,0.7810055865921788,167,0.9267756939738959,526060.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 12]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1449190706661866,4.998969475712904,6.769387439325077,1.485570682350894,0.9106145251396648,174,0.9641464145375845,601672.0
